#Time,Rho,X,Z,Alt,AoA,GSE,LUE,Vtot,Vy,Gamma,Pitch,Roll,Yaw,Step,Grade,Points,Details
0.00,0.891,1812.4,29.2,434.5,8.34,0.88,-8.06,127.7,-490.8,39.5,6.0,-20.5,-0.1,X0,OK,4.0,    
0.50,0.879,1790.6,49.9,430.2,8.46,0.89,-7.35,127.1,-548.7,38.0,5.8,-21.7,-0.1,X0,OK,4.0,    
1.00,0.868,1768.4,69.9,425.4,8.87,0.90,-6.65,126.9,-612.7,35.9,5.7,-25.4,-0.1,X0,OK,4.0,    
1.50,0.856,1745.5,89.0,420.0,8.83,0.90,-5.96,127.4,-681.9,33.3,5.2,-31.4,-0.1,X0,OK,4.0,    
2.00,0.844,1721.7,107.1,414.0,8.40,0.90,-5.28,128.6,-771.4,31.0,4.4,-35.2,-0.1,X0,OK,4.0,    
2.50,0.831,1696.7,124.0,407.1,8.30,0.89,-4.63,129.8,-877.0,28.6,3.9,-37.3,-0.1,X0,OK,4.0,    
3.00,0.817,1670.7,139.6,399.4,8.77,0.87,-3.99,130.6,-975.9,25.8,3.8,-38.4,-0.0,X0,OK,4.0,    
3.50,0.804,1643.8,153.7,391.0,9.20,0.85,-3.39,131.2,-1058.8,22.9,3.8,-39.0,-0.0,X0,OK,4.0,    
4.00,0.789,1616.1,166.3,381.8,9.15,0.82,-2.82,131.6,-1138.7,20.4,3.5,-38.3,-0.0,X0,OK,4.0,    
4.50,0.775,1587.8,177.2,372.0,8.89,0.78,-2.30,131.1,-1231.8,18.6,3.2,-34.8,-0.0,X0,OK,4.0,    
5.00,0.760,1559.2,186.5,361.5,8.63,0.74,-1.81,130.5,-1257.4,17.3,3.1,-29.1,-0.0,X0,OK,4.0,    
5.50,0.745,1530.4,194.7,351.1,8.52,0.69,-1.34,130.5,-1249.8,15.6,2.9,-26.6,-0.0,X0,OK,4.0,    
6.00,0.730,1501.2,201.8,340.7,8.69,0.65,-0.91,130.8,-1249.2,13.2,2.9,-27.4,-0.0,X0,OK,4.0,    
6.50,0.715,1471.8,207.4,330.2,8.86,0.60,-0.50,130.9,-1253.6,11.2,3.1,-27.2,-0.0,X0,OK,4.0,    
7.00,0.700,1442.1,211.8,319.9,8.85,0.56,-0.14,130.9,-1233.6,9.8,3.4,-24.4,-0.0,XX,OK,4.0,    
7.50,0.684,1412.3,215.0,309.8,8.62,0.51,0.19,131.0,-1171.3,8.8,3.6,-20.5,-0.0,XX,OK,4.0,(SLOH)X    
8.00,0.668,1382.3,217.3,300.3,8.31,0.48,0.50,131.0,-1095.1,7.6,3.5,-19.6,-0.0,XX,OK,4.0,(SLOH)X    
8.50,0.652,1352.4,218.6,291.5,8.12,0.45,0.79,130.6,-1037.9,6.1,3.6,-20.9,-0.0,XX,OK,4.0,(SLOHOS)X    
9.00,0.637,1322.5,218.9,282.9,8.23,0.42,1.03,129.9,-1012.6,4.6,3.8,-21.6,-0.0,XX,OK,4.0,(SLOHOS)X    
9.50,0.621,1292.8,218.1,274.6,8.29,0.40,1.24,129.3,-978.9,3.6,4.2,-19.5,-0.0,XX,(OK),3.0,(SLOH)OSX    
10.00,0.605,1263.4,216.5,266.7,8.05,0.38,1.42,128.4,-927.8,2.9,4.3,-16.9,-0.0,XX,(OK),3.0,(SLOH)OSX    
10.50,0.589,1234.2,214.2,259.1,7.87,0.36,1.57,127.4,-895.2,1.9,4.2,-16.6,-0.0,XX,(OK),3.0,(SLOH)OSX    
11.00,0.574,1205.3,211.1,251.7,7.91,0.35,1.69,126.5,-885.1,0.7,4.2,-17.6,0.0,XX,(OK),3.0,(SLOH)OSX    
11.50,0.558,1176.8,207.3,244.3,8.19,0.33,1.77,125.8,-894.7,0.6,4.4,-18.7,0.0,XX,(OK),3.0,(SLOH)OSX    
12.00,0.543,1148.5,202.7,236.7,8.59,0.31,1.82,125.0,-920.8,2.0,4.7,-19.0,0.0,XX,(OK),3.0,(SLOH)OSX    
12.50,0.527,1120.5,197.3,229.0,8.83,0.28,1.81,124.4,-940.4,2.8,5.0,-16.2,0.0,XX,(OK),3.0,(SLOH)OSX    
13.00,0.512,1092.8,191.2,221.1,8.55,0.26,1.77,124.5,-929.4,2.9,5.1,-11.0,0.0,XX,(OK),3.0,(SLOH)OSX    
13.50,0.496,1065.0,184.7,213.5,8.23,0.23,1.71,125.1,-890.9,3.1,4.7,-7.0,0.0,IM,(OK),3.0,(SLOH)OSX    
14.00,0.481,1037.2,177.8,206.2,7.82,0.21,1.62,124.5,-874.7,3.3,4.3,-4.8,0.0,IM,(OK),3.0,(SLOH)OSX LURIM   
14.50,0.466,1009.8,170.8,198.8,7.88,0.18,1.51,123.3,-894.4,3.3,4.1,-0.9,0.0,IM,(OK),3.0,(SLOH)OSX LURIM   
15.00,0.451,982.6,163.8,191.3,8.20,0.15,1.39,122.6,-907.9,3.2,4.4,2.2,0.0,IM,(OK),3.0,(SLOH)OSX LURIM   
15.50,0.436,955.5,156.8,183.8,8.40,0.12,1.27,123.2,-907.9,2.7,4.7,5.4,-0.0,IM,(OK),3.0,(SLOH)OSX LURIM   
16.00,0.420,928.0,150.0,176.3,8.50,0.09,1.16,124.3,-878.6,2.3,4.9,6.4,-0.0,IM,(OK),3.0,(SLOH)OSX LURIM   
16.50,0.405,900.3,143.4,169.1,8.22,0.06,1.05,125.0,-853.4,2.0,4.7,5.7,-0.0,IM,(OK),3.0,(SLOH)OSX LURIM   
