#Time,Rho,X,Z,Alt,AoA,GSE,LUE,Vtot,Vy,Gamma,Pitch,Roll,Yaw,Step,Grade,Points,Details
0.00,0.951,1923.7,29.2,325.2,8.56,-0.42,-8.13,142.2,-1108.8,41.4,3.6,-24.7,-0.0,X0,OK,4.0,    
0.50,0.939,1900.2,50.8,316.4,8.33,-0.46,-7.43,142.7,-1017.8,39.5,3.8,-25.4,-0.0,X0,OK,4.0,    
1.00,0.926,1875.7,71.4,308.1,8.12,-0.50,-6.75,143.1,-947.7,38.1,4.0,-24.4,-0.0,X0,OK,4.0,    
1.50,0.913,1850.5,91.1,300.7,8.16,-0.53,-6.08,143.3,-839.8,36.8,4.5,-21.8,-0.0,X0,OK,4.0,    
2.00,0.899,1824.8,109.8,294.2,8.34,-0.56,-5.42,143.2,-714.0,35.2,5.1,-21.6,-0.0,X0,OK,4.0,    
2.50,0.886,1798.5,127.7,288.7,8.31,-0.57,-4.77,143.2,-589.1,33.4,5.5,-23.5,-0.0,X0,OK,4.0,    
3.00,0.872,1771.6,144.4,284.2,8.12,-0.57,-4.14,143.2,-494.3,31.5,5.6,-25.6,-0.0,X0,OK,4.0,    
3.50,0.858,1744.1,160.0,280.3,8.01,-0.57,-3.52,143.3,-431.1,29.7,5.8,-26.2,0.0,X0,OK,4.0,    
4.00,0.844,1716.0,174.4,277.1,8.13,-0.55,-2.92,143.4,-338.3,28.1,6.3,-24.8,0.0,X0,OK,4.0,    
4.50,0.829,1687.6,187.8,274.7,8.23,-0.53,-2.34,143.4,-226.2,26.4,6.8,-24.2,0.0,X0,OK,4.0,    
5.00,0.814,1658.6,200.0,273.2,8.13,-0.50,-1.78,143.4,-128.6,24.6,7.1,-24.2,0.0,X0,OK,4.0,    
5.50,0.799,1629.4,211.0,272.5,7.76,-0.45,-1.24,143.2,-43.1,23.4,7.3,-22.0,0.0,X0,OK,4.0,    
6.00,0.785,1599.9,221.1,272.5,7.43,-0.40,-0.72,142.4,58.1,22.3,7.4,-19.5,0.0,X0,OK,4.0,    
6.50,0.770,1570.4,230.1,273.4,7.32,-0.33,-0.21,141.4,139.0,20.9,7.4,-19.5,0.0,X0,OK,4.0,    
7.00,0.755,1541.0,238.3,274.8,6.93,-0.25,0.28,140.4,199.0,19.5,7.3,-20.6,0.0,X0,OK,4.0,    
