Time,Rho,X,Z,Alt,AoA,GSE,LUE,Vtot,Vy,Gamma,Pitch,Roll,Yaw,Step,Grade,Points,Details
0.00,14.479,13502.4,-23251.0,1257.7,4.86,-2.68,-69.14,291.4,-513.8,72.0,3.8,-7.2,-0.1,n/a,OK,4.0,    
0.50,14.439,13478.2,-23181.5,1253.3,4.90,-2.68,-69.11,290.2,-546.5,71.8,3.8,-7.3,-0.1,n/a,OK,4.0,    
1.00,14.401,13453.9,-23112.3,1248.6,4.93,-2.68,-69.09,289.0,-578.0,71.6,3.7,-7.4,-0.1,n/a,OK,4.0,    
1.50,14.362,13429.5,-23043.6,1243.6,4.95,-2.68,-69.06,287.9,-611.6,71.3,3.7,-7.6,-0.1,n/a,OK,4.0,    
2.00,14.323,13404.9,-22975.2,1238.4,5.01,-2.69,-69.03,286.8,-654.9,71.1,3.7,-7.7,-0.1,n/a,OK,4.0,    
2.50,14.285,13380.1,-22907.2,1232.8,5.17,-2.69,-69.00,285.6,-671.3,71.3,3.8,-2.3,-0.1,n/a,OK,4.0,    
3.00,14.246,13355.4,-22839.5,1227.2,5.26,-2.69,-68.97,284.6,-675.1,72.1,3.8,8.5,-0.1,n/a,OK,4.0,    
3.50,14.208,13331.0,-22772.0,1221.6,5.53,-2.69,-68.95,283.7,-667.2,73.1,4.0,16.4,-0.1,n/a,OK,4.0,    
4.00,14.170,13307.5,-22704.3,1216.2,5.86,-2.69,-68.92,282.9,-637.7,73.7,4.5,16.8,-0.1,n/a,OK,4.0,    
4.50,14.132,13284.7,-22636.5,1211.2,5.62,-2.69,-68.88,282.3,-572.0,74.0,4.4,15.6,-0.1,n/a,OK,4.0,    
5.00,14.095,13262.6,-22568.6,1206.4,5.34,-2.69,-68.85,282.0,-576.9,74.3,4.1,14.8,-0.1,n/a,OK,4.0,    
5.50,14.057,13241.1,-22500.5,1201.5,5.40,-2.69,-68.82,282.0,-612.3,74.8,4.1,14.2,-0.1,n/a,OK,4.0,    
6.00,14.019,13220.2,-22432.2,1196.5,5.98,-2.70,-68.78,281.8,-573.1,75.4,4.7,13.7,-0.1,n/a,OK,4.0,    
6.50,13.982,13199.9,-22363.8,1192.1,5.73,-2.70,-68.74,281.4,-486.0,75.9,4.6,13.2,-0.1,n/a,OK,4.0,    
7.00,13.945,13180.2,-22295.2,1188.1,5.42,-2.70,-68.70,281.0,-476.9,76.3,4.4,12.8,-0.1,n/a,OK,4.0,    
7.50,13.908,13161.1,-22226.6,1184.0,5.41,-2.70,-68.66,280.7,-500.6,76.7,4.3,12.5,-0.1,n/a,OK,4.0,    
8.00,13.870,13142.4,-22157.9,1179.8,5.48,-2.70,-68.62,280.3,-516.6,77.0,4.4,12.1,-0.1,n/a,OK,4.0,    
8.50,13.833,13124.4,-22089.1,1175.4,5.49,-2.70,-68.58,280.0,-526.4,77.4,4.3,11.8,-0.1,n/a,OK,4.0,    
9.00,13.797,13106.8,-22020.3,1171.0,5.45,-2.70,-68.53,279.6,-542.9,77.8,4.3,11.4,-0.1,n/a,OK,4.0,    
9.50,13.760,13089.7,-21951.4,1166.4,5.44,-2.70,-68.49,279.3,-567.5,78.1,4.2,11.1,-0.1,n/a,OK,4.0,    
10.00,13.723,13073.1,-21882.5,1161.5,5.47,-2.70,-68.44,278.9,-590.7,78.4,4.2,10.7,-0.1,n/a,OK,4.0,    
10.50,13.687,13056.9,-21813.5,1156.5,5.49,-2.70,-68.39,278.6,-613.0,78.8,4.2,10.4,-0.1,n/a,OK,4.0,    
11.00,13.650,13041.2,-21744.5,1151.3,5.48,-2.71,-68.34,278.3,-637.5,79.1,4.1,10.0,-0.1,n/a,OK,4.0,    
11.50,13.614,13026.0,-21675.5,1145.9,5.48,-2.71,-68.29,277.9,-664.5,79.4,4.1,9.7,-0.1,n/a,OK,4.0,    
12.00,13.578,13011.1,-21606.5,1140.2,5.50,-2.71,-68.24,277.6,-690.4,79.7,4.1,9.4,-0.1,n/a,OK,4.0,    
12.50,13.542,12996.6,-21537.4,1134.4,5.53,-2.71,-68.19,277.3,-714.9,79.9,4.1,9.1,-0.1,n/a,OK,4.0,    
13.00,13.506,12982.6,-21468.3,1128.3,5.54,-2.71,-68.13,277.0,-738.0,80.2,4.0,8.8,-0.1,n/a,OK,4.0,    
13.50,13.470,12968.9,-21399.2,1122.0,5.55,-2.72,-68.08,276.7,-763.0,80.4,4.0,8.4,-0.1,n/a,OK,4.0,    
14.00,13.434,12955.6,-21330.1,1115.6,5.54,-2.72,-68.02,276.4,-787.9,80.7,4.0,8.1,-0.1,n/a,OK,4.0,    
14.50,13.399,12942.6,-21261.0,1108.9,5.57,-2.72,-67.97,276.1,-813.4,80.9,3.9,7.8,-0.1,n/a,OK,4.0,    
15.00,13.363,12930.0,-21191.9,1102.0,5.59,-2.72,-67.91,275.8,-835.4,81.2,3.9,7.5,-0.1,n/a,OK,4.0,    
15.50,13.328,12917.7,-21122.8,1095.0,6.02,-2.73,-67.85,275.5,-847.4,81.5,4.3,7.2,-0.1,n/a,OK,4.0,    
16.00,13.293,12905.7,-21053.7,1088.3,6.41,-2.73,-67.79,275.1,-754.2,81.8,4.9,7.1,-0.1,n/a,OK,4.0,    
16.50,13.258,12894.1,-20984.6,1082.6,6.57,-2.73,-67.73,274.5,-625.5,82.1,5.3,7.0,-0.1,n/a,OK,4.0,    
17.00,13.223,12882.8,-20915.7,1078.0,6.67,-2.73,-67.67,273.9,-481.3,82.4,5.7,7.0,-0.1,n/a,OK,4.0,    
17.50,13.188,12872.0,-20846.7,1074.7,6.73,-2.73,-67.61,273.3,-329.0,82.7,6.1,7.0,-0.1,n/a,OK,4.0,    
18.00,13.153,12861.5,-20777.9,1072.6,6.79,-2.73,-67.54,272.6,-175.7,82.9,6.4,7.0,-0.1,n/a,OK,4.0,    
18.50,13.119,12851.4,-20709.2,1071.8,6.82,-2.73,-67.48,271.8,-19.2,83.2,6.8,7.0,-0.1,n/a,OK,4.0,    
19.00,13.084,12841.8,-20640.6,1072.3,6.81,-2.73,-67.41,271.0,127.8,83.5,7.0,7.0,-0.1,n/a,OK,4.0,    
19.50,13.050,12832.5,-20572.2,1074.0,6.75,-2.73,-67.35,270.2,260.2,83.8,7.3,7.0,-0.1,n/a,OK,4.0,    
20.00,13.016,12823.6,-20503.9,1076.7,6.71,-2.72,-67.28,269.3,377.3,84.0,7.4,7.0,-0.1,n/a,OK,4.0,    
20.50,12.983,12815.1,-20435.8,1080.2,6.61,-2.72,-67.21,268.5,473.0,84.3,7.5,7.0,-0.1,n/a,OK,4.0,    
21.00,12.949,12806.9,-20367.8,1084.5,6.51,-2.71,-67.14,267.6,544.9,84.5,7.6,7.0,-0.1,n/a,OK,4.0,    
21.50,12.916,12799.1,-20300.0,1089.3,6.39,-2.71,-67.07,266.8,592.2,84.7,7.6,7.1,-0.1,n/a,OK,4.0,    
22.00,12.883,12791.7,-20232.4,1094.3,6.26,-2.70,-67.00,266.0,612.1,85.0,7.5,7.0,-0.1,n/a,OK,4.0,    
22.50,12.850,12784.7,-20164.9,1099.4,6.18,-2.69,-66.93,265.2,608.9,85.2,7.4,7.0,-0.1,n/a,OK,4.0,    
23.00,12.817,12777.9,-20097.6,1104.4,6.07,-2.69,-66.86,264.4,583.0,85.4,7.3,7.0,-0.1,n/a,OK,4.0,    
23.50,12.784,12771.5,-20030.4,1109.0,6.01,-2.68,-66.78,263.7,536.1,85.7,7.2,7.0,-0.1,n/a,OK,4.0,    
24.00,12.752,12765.5,-19963.4,1113.2,5.94,-2.68,-66.71,263.0,472.6,85.9,7.0,7.0,-0.1,n/a,OK,4.0,    
24.50,12.720,12759.7,-19896.4,1116.8,5.94,-2.67,-66.63,262.3,396.7,86.1,6.8,7.0,-0.1,n/a,OK,4.0,    
25.00,12.688,12754.2,-19829.6,1119.8,5.93,-2.67,-66.56,261.7,315.7,86.4,6.6,7.0,-0.1,n/a,OK,4.0,    
25.50,12.656,12749.1,-19763.0,1122.0,5.94,-2.67,-66.48,261.1,231.0,86.6,6.4,7.1,-0.1,n/a,OK,4.0,    
26.00,12.624,12744.2,-19696.4,1123.6,5.96,-2.66,-66.40,260.6,140.6,86.8,6.3,7.1,-0.1,n/a,OK,4.0,    
26.50,12.593,12739.7,-19629.9,1124.4,5.99,-2.66,-66.32,260.1,54.3,87.1,6.1,7.1,-0.1,n/a,OK,4.0,    
27.00,12.561,12735.4,-19563.5,1124.4,6.04,-2.66,-66.24,259.6,-33.0,87.3,6.0,7.1,-0.1,n/a,OK,4.0,    
27.50,12.530,12731.4,-19497.2,1123.8,6.13,-2.66,-66.16,259.1,-114.8,87.5,5.9,7.0,-0.1,n/a,OK,4.0,    
28.00,12.499,12727.8,-19431.0,1122.5,6.24,-2.65,-66.08,258.7,-184.2,87.8,5.9,7.0,-0.1,n/a,OK,4.0,    
28.50,12.468,12724.4,-19364.9,1120.8,6.36,-2.65,-66.00,258.2,-239.5,88.0,5.9,7.0,-0.1,n/a,OK,4.0,    
29.00,12.437,12721.3,-19298.8,1118.6,6.45,-2.65,-65.91,257.8,-283.2,88.3,5.9,7.0,-0.1,n/a,OK,4.0,    
29.50,12.406,12718.6,-19232.9,1116.1,6.56,-2.65,-65.83,257.3,-316.0,88.5,5.9,7.0,-0.1,n/a,OK,4.0,    
30.00,12.376,12716.1,-19167.0,1113.3,6.69,-2.65,-65.75,256.9,-334.9,88.8,6.0,7.0,-0.1,n/a,OK,4.0,    
30.50,12.346,12714.0,-19101.2,1110.5,6.83,-2.65,-65.66,256.4,-339.6,89.1,6.1,7.0,-0.1,n/a,OK,4.0,    
31.00,12.315,12712.2,-19035.5,1107.7,6.94,-2.65,-65.57,256.0,-329.5,89.4,6.2,7.0,-0.1,n/a,OK,4.0,    
31.50,12.285,12710.7,-18969.9,1105.1,7.04,-2.65,-65.48,255.5,-311.0,89.6,6.3,7.0,-0.1,n/a,OK,4.0,    
32.00,12.256,12709.5,-18904.5,1102.6,7.13,-2.65,-65.40,255.0,-282.2,89.9,6.5,6.9,-0.1,n/a,OK,4.0,    
32.50,12.226,12708.6,-18839.1,1100.4,7.19,-2.65,-65.31,254.4,-247.8,90.2,6.6,6.9,-0.1,n/a,OK,4.0,    
33.00,12.196,12708.1,-18773.8,1098.5,7.30,-2.65,-65.21,253.9,-205.5,90.4,6.8,6.9,-0.1,n/a,OK,4.0,    
33.50,12.167,12707.9,-18708.7,1097.0,7.34,-2.65,-65.12,253.3,-158.7,90.7,6.9,6.9,-0.1,n/a,OK,4.0,    
34.00,12.138,12708.0,-18643.7,1095.9,7.37,-2.65,-65.03,252.7,-112.2,91.0,7.1,6.9,-0.1,n/a,OK,4.0,    
34.50,12.109,12708.5,-18578.9,1095.2,7.41,-2.65,-64.94,252.1,-67.0,91.2,7.2,6.9,-0.1,n/a,OK,4.0,    
35.00,12.080,12709.3,-18514.2,1094.8,7.43,-2.65,-64.84,251.4,-23.0,91.5,7.3,6.9,-0.1,n/a,OK,4.0,    
35.50,12.052,12710.4,-18449.6,1094.8,7.47,-2.64,-64.75,250.8,18.7,91.8,7.5,6.9,-0.1,n/a,OK,4.0,    
36.00,12.024,12711.8,-18385.2,1095.2,7.49,-2.64,-64.65,250.1,59.2,92.1,7.5,6.9,-0.1,n/a,OK,4.0,    
36.50,11.996,12713.6,-18321.0,1095.8,7.49,-2.64,-64.55,249.5,95.7,92.3,7.6,6.9,-0.1,n/a,OK,4.0,    
37.00,11.968,12715.7,-18256.9,1096.7,7.47,-2.64,-64.45,248.8,123.8,92.6,7.7,6.9,-0.1,n/a,OK,4.0,    
37.50,11.940,12718.1,-18193.0,1097.9,7.47,-2.63,-64.35,248.1,143.8,92.9,7.7,6.9,-0.1,n/a,OK,4.0,    
38.00,11.912,12720.8,-18129.3,1099.1,7.46,-2.63,-64.25,247.5,154.9,93.1,7.8,6.9,-0.1,n/a,OK,4.0,    
38.50,11.885,12723.9,-18065.7,1100.4,7.48,-2.63,-64.15,246.8,160.4,93.4,7.8,6.9,-0.1,n/a,OK,4.0,    
39.00,11.858,12727.2,-18002.3,1101.8,7.50,-2.63,-64.05,246.2,163.0,93.6,7.8,6.9,-0.1,n/a,OK,4.0,    
39.50,11.831,12730.9,-17939.1,1103.1,7.49,-2.62,-63.95,245.5,159.3,93.9,7.8,6.9,-0.1,n/a,OK,4.0,    
40.00,11.805,12734.9,-17876.0,1104.4,7.51,-2.62,-63.85,244.9,149.5,94.2,7.8,6.9,-0.1,n/a,OK,4.0,    
40.50,11.778,12739.2,-17813.1,1105.6,7.51,-2.62,-63.74,244.2,135.6,94.4,7.8,6.9,-0.1,n/a,OK,4.0,    
41.00,11.752,12743.7,-17750.4,1106.7,7.52,-2.61,-63.64,243.6,116.2,94.7,7.8,6.9,-0.1,n/a,OK,4.0,    
41.50,11.726,12748.6,-17687.8,1107.5,7.55,-2.61,-63.53,243.0,94.0,95.0,7.8,6.9,-0.1,n/a,OK,4.0,    
42.00,11.700,12753.8,-17625.4,1108.2,7.58,-2.61,-63.42,242.4,69.0,95.2,7.8,6.9,-0.1,n/a,OK,4.0,    
42.50,11.675,12759.3,-17563.2,1108.7,7.63,-2.61,-63.31,241.8,43.6,95.5,7.8,6.9,-0.1,n/a,OK,4.0,    
43.00,11.649,12765.0,-17501.1,1108.9,7.70,-2.60,-63.21,241.2,20.3,95.8,7.8,6.9,-0.1,n/a,OK,4.0,    
43.50,11.624,12771.1,-17439.2,1109.0,7.75,-2.60,-63.10,240.6,-1.1,96.0,7.7,6.9,-0.1,n/a,OK,4.0,    
44.00,11.599,12777.4,-17377.4,1108.9,7.82,-2.60,-62.99,240.1,-20.4,96.3,7.7,6.8,-0.1,n/a,OK,4.0,    
44.50,11.574,12784.0,-17315.9,1108.7,7.64,-2.60,-62.87,239.5,-22.9,96.6,7.6,6.9,-0.1,n/a,OK,4.0,    
45.00,11.550,12791.0,-17254.4,1108.5,7.31,-2.60,-62.76,238.9,-31.2,97.0,7.2,7.1,-0.1,n/a,OK,4.0,    
45.50,11.525,12798.2,-17193.2,1108.2,7.12,-2.59,-62.65,238.3,-36.7,97.3,7.0,7.3,-0.1,n/a,OK,4.0,    
